,Game,Release date,Company,Genres,Mean Note,Number of Vote,store
36,Bottle Flip 3D,2018-12-20,,Platform,4.5,296500,apple
38,Kawaii Home Design,2019-04-22,,Simulator,4.9,4200,apple
44,Star Wars: Galaxy of Heroes,2015-11-24,ELECTRONIC ARTS,"Role-playing (RPG), Strategy, Tactical",4.7,163500,apple
57,Worms 2: Armageddon,2009-07-01,,Strategy,4.3,25,apple
63,Warhammer Age of Sigmar: Champions,2018-09-12,,Strategy,4.6,598,apple
64,Where's My Water?,2011-09-22,,Puzzle,4.1,1400,apple
72,World of Warships: Blitz,2018-01-17,,"Arcade, Tactical",4.7,70300,apple
74,Trick Shot,2015-09-02,,"Indie, Puzzle",4.5,493,apple
79,Take Off: The Flight Simulator,2017-06-09,,Simulator,4.4,154,apple
81,R-Type,1987-07-01,,"Arcade, Shooter",3.0,31,apple
86,World on Fire,2017-11-27,,Strategy,4.3,2000,apple
89,Rome: Total War - Barbarian Invasion,2005-09-25,,"Simulator, Strategy, Tactical, Turn-based strategy (TBS)",4.8,1700,apple
106,ARK: Survival Evolved,2017-08-29,,"Adventure, Indie, Role-playing (RPG), Shooter",4.3,7500,apple
141,Stardew Valley,2016-02-26,,"Indie, Role-playing (RPG), Simulator",4.8,26200,apple
150,Planet Runners,2018-11-12,,"Indie, Platform, Racing",5.0,1,apple
151,Désiré,2016-05-10,,"Adventure, Indie",3.3,32,apple
156,Marvel: Contest of Champions,2014-12-10,,Fighting,4.7,381900,apple
158,"Please, Don't Touch Anything",2015-03-26,,"Adventure, Indie, Point-and-click, Puzzle",3.7,325,apple
162,Oceanhorn,2013-11-14,,"Adventure, Indie, Puzzle, Role-playing (RPG)",4.3,753,apple
173,Smashing the Battle,2016-05-15,,"Hack and slash/Beat 'em up, Indie",4.4,19,apple
184,FEIST,2015-07-23,,"Adventure, Indie, Platform",4.0,494,apple
199,Splitter Critters,2017-01-26,,"Adventure, Indie, Platform, Puzzle",4.8,1800,apple
201,DEVICE 6,2013-10-17,,"Adventure, Indie, Role-playing (RPG), Visual Novel",4.5,722,apple
235,SPACE MOUSE,2014-05-19,,Indie,4.7,59200,apple
236,Grand Theft Auto: Vice City,2002-10-27,,"Adventure, Arcade, Racing, Shooter",4.4,8100,apple
251,Lara Croft: Relic Run,2015-05-28,Square Enix,"Adventure, Arcade",4.3,1900,apple
252,VALZ,2018-11-27,,"Indie, Music, Role-playing (RPG)",3.0,1,apple
258,LongStory,2014-03-20,,"Adventure, Indie, Role-playing (RPG), Simulator",3.7,1500,apple
263,Dinosaur Discovery,2018-01-22,,"Indie, Puzzle",4.0,4,apple
282,SpongeBob Bubble Party,2015-01-08,,"Arcade, Puzzle",3.9,64,apple
320,Valkyrie Profile: Lenneth,2006-03-02,Square Enix,Role-playing (RPG),4.3,163,apple
326,Cube Escape: The Mill,2015-09-01,,"Adventure, Puzzle",4.9,622,apple
328,Fruit Ninja Classic,2010-04-20,,Arcade,4.1,982,apple
334,Umiro,2018-03-29,,"Adventure, Indie, Puzzle, Strategy",4.5,19,apple
342,King of Thieves,2015-02-12,,Strategy,4.4,7400,apple
