Genre,index genre
Platform,36
Simulator,38
Role-playing (RPG),44
Strategy,44
Tactical,44
Strategy,57
Strategy,63
Puzzle,64
Arcade,72
Tactical,72
Indie,74
Puzzle,74
Simulator,79
Arcade,81
Shooter,81
Strategy,86
Simulator,89
Strategy,89
Tactical,89
Turn-based strategy (TBS),89
Adventure,106
Indie,106
Role-playing (RPG),106
Shooter,106
Indie,141
Role-playing (RPG),141
Simulator,141
Indie,150
Platform,150
Racing,150
Adventure,151
Indie,151
Fighting,156
Adventure,158
Indie,158
Point-and-click,158
Puzzle,158
Adventure,162
Indie,162
Puzzle,162
Role-playing (RPG),162
Hack and slash/Beat 'em up,173
Indie,173
Adventure,184
Indie,184
Platform,184
Adventure,199
Indie,199
Platform,199
Puzzle,199
Adventure,201
Indie,201
Role-playing (RPG),201
Visual Novel,201
Indie,235
Adventure,236
Arcade,236
Racing,236
Shooter,236
Adventure,251
Arcade,251
Indie,252
Music,252
Role-playing (RPG),252
Adventure,258
Indie,258
Role-playing (RPG),258
Simulator,258
Indie,263
Puzzle,263
Arcade,282
Puzzle,282
Role-playing (RPG),320
Adventure,326
Puzzle,326
Arcade,328
Adventure,334
Indie,334
Puzzle,334
Strategy,334
Strategy,342
Indie,367
Puzzle,367
Strategy,367
Tactical,367
Turn-based strategy (TBS),367
Arcade,378
Puzzle,378
Puzzle,385
Adventure,387
Strategy,394
Arcade,396
Puzzle,398
Adventure,404
Indie,404
Role-playing (RPG),404
Adventure,408
Indie,408
Puzzle,408
Adventure,420
Role-playing (RPG),420
Hack and slash/Beat 'em up,426
Indie,426
Simulator,428
Strategy,428
Adventure,432
Indie,432
Point-and-click,432
Arcade,443
Indie,443
Platform,443
Adventure,455
Indie,455
Puzzle,455
Adventure,456
Adventure,463
Fighting,463
Role-playing (RPG),463
Arcade,469
Indie,469
Puzzle,469
Simulator,469
Strategy,469
Arcade,483
Racing,483
Role-playing (RPG),486
Adventure,501
Indie,501
Puzzle,501
Role-playing (RPG),501
Indie,504
Simulator,504
Adventure,520
Indie,520
Platform,520
Puzzle,520
Adventure,521
Hack and slash/Beat 'em up,521
Puzzle,521
Simulator,539
Indie,540
Puzzle,540
Arcade,542
Indie,542
Indie,565
Strategy,565
Hack and slash/Beat 'em up,566
Role-playing (RPG),566
Adventure,568
Indie,568
Platform,568
Puzzle,568
Puzzle,579
Adventure,586
Indie,586
Platform,586
Puzzle,586
Unknow,587
Arcade,593
Music,593
Adventure,597
Simulator,597
Indie,603
Real Time Strategy (RTS),603
Simulator,603
Strategy,603
Tactical,603
Indie,614
Puzzle,614
Simulator,615
Adventure,622
Indie,622
Puzzle,622
Arcade,624
Indie,624
Adventure,626
Indie,626
Strategy,626
Turn-based strategy (TBS),639
Shooter,659
Strategy,659
Unknow,667
Indie,670
Role-playing (RPG),670
Simulator,670
Strategy,670
Adventure,673
Role-playing (RPG),673
Adventure,693
Indie,693
Role-playing (RPG),693
Strategy,693
Turn-based strategy (TBS),693
Indie,697
Platform,697
Puzzle,697
Adventure,704
Indie,704
Role-playing (RPG),704
Arcade,709
Indie,709
Indie,711
Strategy,711
Indie,713
Puzzle,713
Hack and slash/Beat 'em up,714
Platform,714
Arcade,720
Music,720
Arcade,723
Racing,723
Simulator,742
Adventure,747
Indie,747
Puzzle,747
Simulator,749
Strategy,749
Hack and slash/Beat 'em up,751
Platform,751
Adventure,756
Role-playing (RPG),756
Adventure,770
Indie,770
Point-and-click,770
Adventure,772
Indie,772
Puzzle,772
Indie,775
Strategy,775
Turn-based strategy (TBS),775
Indie,787
Puzzle,787
Strategy,806
Turn-based strategy (TBS),806
Adventure,811
Point-and-click,811
Adventure,830
Puzzle,830
Turn-based strategy (TBS),830
Puzzle,832
Arcade,834
Music,834
Adventure,835
Indie,835
Puzzle,835
Role-playing (RPG),850
Unknow,853
Adventure,864
Fighting,864
Adventure,900
Indie,900
Puzzle,900
Role-playing (RPG),905
Arcade,908
Adventure,938
Indie,938
Music,938
Role-playing (RPG),938
Indie,941
Role-playing (RPG),941
Strategy,941
Tactical,941
Adventure,951
Role-playing (RPG),951
Strategy,951
Fighting,952
Indie,954
Puzzle,954
Arcade,956
Adventure,962
Arcade,962
Indie,962
Sport,962
Indie,981
Adventure,983
Indie,983
Simulator,983
Indie,1006
Platform,1006
Role-playing (RPG),1008
Turn-based strategy (TBS),1008
Puzzle,1010
Arcade,1022
Arcade,1024
Platform,1024
Racing,1024
Indie,1031
Quiz/Trivia,1031
Role-playing (RPG),1031
Strategy,1031
Turn-based strategy (TBS),1031
Adventure,1045
Role-playing (RPG),1045
Adventure,1058
Indie,1058
Platform,1058
Puzzle,1058
Visual Novel,1059
Turn-based strategy (TBS),1060
Indie,1062
Adventure,1064
Indie,1064
Role-playing (RPG),1064
Strategy,1064
Tactical,1064
Puzzle,1083
Adventure,1085
Fighting,1085
Hack and slash/Beat 'em up,1085
Indie,1085
Music,1085
Platform,1085
Role-playing (RPG),1085
Strategy,1085
Turn-based strategy (TBS),1085
Real Time Strategy (RTS),1090
Role-playing (RPG),1090
Strategy,1090
Tactical,1090
Adventure,1092
Indie,1092
Point-and-click,1092
Puzzle,1092
Strategy,1093
Turn-based strategy (TBS),1093
Adventure,1096
Indie,1096
Point-and-click,1096
Puzzle,1096
Unknow,1108
Role-playing (RPG),1110
Shooter,1110
Indie,1111
Music,1111
Indie,1113
Sport,1113
Arcade,1118
Indie,1118
Racing,1118
Role-playing (RPG),1119
Strategy,1119
Turn-based strategy (TBS),1119
Adventure,1124
Arcade,1124
Platform,1124
Adventure,1126
Role-playing (RPG),1126
Arcade,1127
Adventure,1135
Indie,1135
Role-playing (RPG),1135
Simulator,1135
Adventure,1146
Platform,1146
Puzzle,1146
Sport,1146
Strategy,1146
Adventure,1148
Indie,1148
Platform,1148
Role-playing (RPG),1148
Tactical,1155
Adventure,1156
Visual Novel,1156
Unknow,1160
Real Time Strategy (RTS),1166
Simulator,1166
Strategy,1166
Unknow,1179
Indie,1186
Real Time Strategy (RTS),1186
Strategy,1186
Indie,1194
Role-playing (RPG),1194
Strategy,1194
Turn-based strategy (TBS),1194
Strategy,1195
Adventure,1199
Indie,1199
Platform,1199
Puzzle,1199
Arcade,1203
Indie,1203
Platform,1203
Racing,1203
Strategy,1218
Unknow,1230
Indie,1234
Role-playing (RPG),1234
Shooter,1234
Indie,1236
Role-playing (RPG),1236
Shooter,1236
Simulator,1236
Strategy,1236
Music,1239
Real Time Strategy (RTS),1246
Strategy,1246
Unknow,1251
Adventure,1252
Indie,1252
Point-and-click,1252
Puzzle,1252
Adventure,1254
Simulator,1254
Simulator,1255
Adventure,1270
Indie,1270
Role-playing (RPG),1270
Adventure,1279
Arcade,1281
Indie,1281
Puzzle,1287
Indie,1293
Racing,1293
Arcade,1295
Indie,1295
Puzzle,1295
Arcade,1300
Racing,1300
Adventure,1309
Indie,1309
Puzzle,1309
Indie,1313
Puzzle,1313
Strategy,1313
Hack and slash/Beat 'em up,1326
Platform,1326
Indie,1334
Puzzle,1334
Adventure,1355
Indie,1355
Role-playing (RPG),1355
Unknow,1369
Puzzle,1376
Indie,1384
Sport,1393
Adventure,1411
Indie,1411
Puzzle,1411
Indie,1414
Puzzle,1414
Arcade,1425
Puzzle,1429
Quiz/Trivia,1430
Arcade,1431
Indie,1431
Adventure,1437
Puzzle,1437
Sport,1443
Indie,1447
Role-playing (RPG),1447
Strategy,1447
Tactical,1447
Indie,1449
Puzzle,1449
Adventure,1456
Indie,1456
Point-and-click,1456
Arcade,1458
Puzzle,1458
Platform,1461
Arcade,1463
Racing,1463
Simulator,1464
Indie,1466
Racing,1466
Simulator,1466
Sport,1466
Tactical,1472
Turn-based strategy (TBS),1472
Adventure,1490
Indie,1490
Puzzle,1490
Sport,1491
Puzzle,1498
