Genre,index genre
Indie,2
Strategy,2
Puzzle,7
Simulator,7
Unknow,8
Simulator,10
Adventure,11
Indie,11
Point-and-click,11
Simulator,18
Arcade,19
Arcade,21
Puzzle,22
Strategy,30
Unknow,33
Puzzle,34
Role-playing (RPG),34
Puzzle,54
Adventure,57
Indie,57
Puzzle,57
Strategy,57
Puzzle,65
Strategy,105
Sport,123
Adventure,128
Puzzle,128
Role-playing (RPG),129
Simulator,129
Arcade,133
Role-playing (RPG),190
Simulator,190
Strategy,190
Puzzle,193
Adventure,199
Indie,199
Strategy,199
Adventure,203
Puzzle,203
Unknow,205
Puzzle,208
Platform,214
Puzzle,214
Role-playing (RPG),217
Arcade,218
Sport,218
Racing,219
Simulator,219
Sport,219
Strategy,222
Simulator,225
Strategy,225
Tactical,225
Turn-based strategy (TBS),225
Puzzle,268
Adventure,309
Indie,309
Racing,316
Simulator,316
Simulator,317
Unknow,324
Puzzle,331
Puzzle,367
Arcade,389
Indie,389
Simulator,389
Strategy,389
Arcade,392
Arcade,395
Sport,395
Unknow,397
Arcade,399
Adventure,401
Indie,401
Platform,401
Puzzle,401
Puzzle,403
Strategy,405
Adventure,406
Indie,406
Point-and-click,406
Puzzle,406
Arcade,416
Indie,416
Puzzle,444
Puzzle,446
Strategy,460
Adventure,479
Point-and-click,479
Racing,501
Sport,501
Simulator,505
Arcade,508
Adventure,523
Puzzle,523
Adventure,528
Platform,528
Role-playing (RPG),528
Indie,571
Puzzle,571
Simulator,571
Indie,572
Platform,572
Puzzle,572
Arcade,574
Adventure,578
Indie,578
Role-playing (RPG),578
Arcade,579
Indie,582
Puzzle,582
Simulator,582
Adventure,585
Point-and-click,585
Puzzle,587
Tactical,589
Puzzle,597
Strategy,613
Unknow,626
Unknow,637
Racing,642
Simulator,642
Indie,647
Quiz/Trivia,647
Role-playing (RPG),647
Strategy,647
Simulator,649
Sport,649
Adventure,700
Unknow,706
Adventure,742
Indie,742
Puzzle,742
Role-playing (RPG),742
Role-playing (RPG),744
Arcade,746
Indie,747
Adventure,756
Indie,756
Puzzle,756
Unknow,761
Sport,765
Role-playing (RPG),766
Adventure,768
Indie,773
Puzzle,773
Strategy,773
Adventure,774
Adventure,775
Indie,775
Role-playing (RPG),775
Indie,776
Puzzle,776
Simulator,778
Puzzle,779
Adventure,783
Real Time Strategy (RTS),783
Role-playing (RPG),783
Strategy,783
Arcade,784
Hack and slash/Beat 'em up,791
Platform,791
Puzzle,794
Racing,825
Simulator,825
Simulator,851
Adventure,942
Platform,942
Unknow,943
Arcade,946
Arcade,947
Adventure,948
Indie,948
Strategy,950
Hack and slash/Beat 'em up,953
Indie,953
Unknow,956
Adventure,959
Arcade,961
Sport,961
Adventure,965
Role-playing (RPG),965
Simulator,965
Strategy,965
Turn-based strategy (TBS),965
Turn-based strategy (TBS),968
Racing,983
Simulator,983
Adventure,987
Point-and-click,987
Puzzle,1005
Role-playing (RPG),1015
Simulator,1015
Role-playing (RPG),1056
Arcade,1069
Sport,1069
Unknow,1076
Role-playing (RPG),1095
Role-playing (RPG),1098
Simulator,1098
Adventure,1130
Indie,1130
Role-playing (RPG),1130
Simulator,1130
Unknow,1142
Puzzle,1149
Unknow,1153
Indie,1156
Role-playing (RPG),1156
Simulator,1156
Unknow,1163
Real Time Strategy (RTS),1165
Simulator,1165
Strategy,1165
Racing,1170
Sport,1170
Arcade,1206
Puzzle,1206
Arcade,1217
Indie,1217
Unknow,1227
Adventure,1239
Indie,1239
Quiz/Trivia,1239
Role-playing (RPG),1239
Strategy,1239
Turn-based strategy (TBS),1239
Adventure,1247
Puzzle,1247
Unknow,1259
Adventure,1264
Indie,1264
Role-playing (RPG),1264
Adventure,1271
Puzzle,1271
Unknow,1273
Adventure,1330
Puzzle,1330
Indie,1331
Simulator,1331
Puzzle,1334
Puzzle,1345
Simulator,1347
Puzzle,1348
Unknow,1349
Indie,1350
Role-playing (RPG),1350
Strategy,1350
Tactical,1350
Indie,1372
Puzzle,1372
Adventure,1375
Role-playing (RPG),1375
Strategy,1375
Adventure,1394
Shooter,1394
Role-playing (RPG),1445
Strategy,1445
